position,name,rarity,special_skill,date_added,debut_tour,is_daily_select,is_in_pipes,favorite_courses_base,favorite_courses_level_3,favorite_courses_level_6,favored_courses,baby,crown,dress,earrings,extended_tongue,gloves,hat,helmet,horns,kong,koopaling,mustache,ribbon,shell,short_sleeves,three_hairs,tie
1,Baby Mario,Normal,Boomerang Flower,2019-09-25,New York Tour,TRUE,FALSE,"DS Waluigi Pinball, SNES Mario Circuit 1T",,SNES Vanilla Lake 1R/T,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Baby Peach,Normal,Bubble,2019-09-25,New York Tour,TRUE,FALSE,3DS Cheep Cheep Lagoon,,3DS Rainbow Road,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
3,Baby Daisy,Normal,Bubble,2019-09-25,New York Tour,TRUE,FALSE,"3DS Daisy Hills R/T, 3DS Daisy Hills T",,SNES Choco Island 2R/T,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
4,Baby Rosalina,Normal,Bubble,2019-10-09,Tokyo Tour,TRUE,FALSE,"SNES Choco Island 2T, SNES Rainbow Road T",,SNES Choco Island 2R/T,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
5,Baby Luigi,Normal,Boomerang Flower,2019-10-23,Halloween Tour (2019),TRUE,FALSE,"DS Luigi's Mansion R, DS Luigi's Mansion R/T, Paris Promenade 2R",,DS Waluigi Pinball R/T,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,Koopa Troopa,Normal,Triple Green Shells,2019-09-25,New York Tour,TRUE,FALSE,"3DS Cheep Cheep Lagoon R/T, N64 Koopa Troopa Beach",,3DS Mario Circuit T,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
7,Shy Guy,Normal,Double Bob-ombs,2019-09-25,New York Tour,TRUE,FALSE,3DS Shy Guy Bazaar,,3DS Daisy Hills R/T,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,Dry Bones,Normal,Triple Green Shells,2019-09-25,New York Tour,TRUE,FALSE,"3DS Shy Guy Bazaar T, GBA Bowser's Castle 1T",,GBA Bowser's Castle 1,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
9,Iggy,Normal,Triple Green Shells,2019-10-09,Tokyo Tour,TRUE,FALSE,SNES Choco Island 2R,,GBA Bowser's Castle 1T,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
10,Larry,Normal,Boomerang Flower,2019-10-09,Tokyo Tour,TRUE,FALSE,"N64 Kalimari Desert R, N64 Kalimari Desert R/T",,3DS Cheep Cheep Lagoon R/T,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
11,Lemmy,Normal,Bubble,2019-10-09,Tokyo Tour,TRUE,FALSE,"3DS Cheep Cheep Lagoon R, 3DS Rainbow Road, SNES Mario Circuit 2T, SNES Rainbow Road R, SNES Vanilla Lake 1",,3DS Rainbow Road T,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
12,Ludwig,Normal,Dash Ring,2019-10-09,Tokyo Tour,TRUE,FALSE,"3DS Neo Bowser City R/T, GBA Bowser's Castle 1, N64 Kalimari Desert, N64 Kalimari Desert R/T",,GCN Yoshi Circuit R/T,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
13,Morton,Normal,Giant Banana,2019-10-09,Tokyo Tour,TRUE,FALSE,N64 Kalimari Desert,,GCN Dino Dino Jungle R/T,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,Roy,Normal,Double Bob-ombs,2019-10-09,Tokyo Tour,TRUE,FALSE,"GCN Dino Dino Jungle R/T, N64 Kalimari Desert T",,GBA Bowser's Castle 1R/T,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
15,Wendy,Normal,Heart,2019-10-09,Tokyo Tour,TRUE,FALSE,SNES Choco Island 2,,GBA Bowser's Castle 2R,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
16,Mario,Super,Fire Flower,2019-09-25,New York Tour,TRUE,FALSE,"3DS Cheep Cheep Lagoon T, 3DS Mario Circuit T, N64 Koopa Troopa Beach, RMX Rainbow Road 2R, SNES Mario Circuit 1, SNES Mario Circuit 3R/T",GCN Yoshi Circuit R/T,N64 Koopa Troopa Beach R,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
17,Peach,Super,Heart,2019-09-25,New York Tour,TRUE,FALSE,"DS Luigi's Mansion R, GCN Yoshi Circuit R, N64 Koopa Troopa Beach R, N64 Koopa Troopa Beach T, SNES Mario Circuit 1T, SNES Mario Circuit 3R/T",N64 Frappe Snowland R/T,3DS Mario Circuit R,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
18,Yoshi,Super,Yoshi's Egg,2019-09-25,New York Tour,TRUE,FALSE,"3DS Rock Rock Mountain, GCN Yoshi Circuit, GCN Yoshi Circuit R/T, GCN Yoshi Circuit T, RMX Choco Island 1T",N64 Frappe Snowland R/T,GCN Dino Dino Jungle R,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
19,Daisy,Super,Heart,2019-09-25,New York Tour,TRUE,FALSE,"3DS Cheep Cheep Lagoon R, 3DS Daisy Hills, 3DS Daisy Hills T, 3DS Shy Guy Bazaar R, RMX Choco Island 1T",3DS Shy Guy Bazaar R/T,3DS Shy Guy Bazaar T,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
20,Toad,Super,Triple Mushrooms,2019-09-25,New York Tour,TRUE,FALSE,"3DS Mario Circuit R, 3DS Rock Rock Mountain T, 3DS Toad Circuit, 3DS Toad Circuit R/T, SNES Donut Plains 1R, SNES Mario Circuit 1R/T",SNES Mario Circuit 1T,N64 Koopa Troopa Beach,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,Toadette,Super,Triple Mushrooms,2019-09-25,New York Tour,TRUE,FALSE,"3DS Daisy Hills R, 3DS Toad Circuit, SNES Mario Circuit 3R",3DS Toad Circuit R/T,3DS Mario Circuit T,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,Rosalina,Super,Dash Ring,2019-10-09,Tokyo Tour,TRUE,FALSE,"3DS Cheep Cheep Lagoon, 3DS Mario Circuit R, DS DK Pass R, New York Minute 3T, Paris Promenade R/T, RMX Rainbow Road 2R, SNES Rainbow Road, SNES Rainbow Road R/T",SNES Rainbow Road R,SNES Mario Circuit 3T,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,Luigi,Super,Fire Flower,2019-10-23,Halloween Tour (2019),TRUE,FALSE,"3DS Cheep Cheep Lagoon T, DS DK Pass T, DS Luigi's Mansion, DS Luigi's Mansion T, DS Waluigi Pinball R/T, New York Minute 3R, RMX Mario Circuit 1R/T, SNES Ghost Valley 1",DS Luigi's Mansion R/T,DS Waluigi Pinball R,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
24,Toad (Pit Crew),Super,Boomerang Flower,2019-11-06,Paris Tour,TRUE,FALSE,"3DS Mario Circuit T, 3DS Rosalina's Ice World R, SNES Mario Circuit 1, SNES Mario Circuit 2, SNES Mario Circuit 2T, SNES Mario Circuit 3, Tokyo Blur",SNES Mario Circuit 3R/T,RMX Mario Circuit 1R/T,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,Red Yoshi,Super,Yoshi's Egg,2020-01-01,New Year's Tour,FALSE,FALSE,"3DS Daisy Hills R/T, 3DS Rock Rock Mountain T, GCN Dino Dino Jungle R/T, GCN Yoshi Circuit, GCN Yoshi Circuit R/T, London Loop T, SNES Koopa Troopa Beach 2R, Tokyo Blur 2R/T, Tokyo Blur 2T, Wii Maple Treeway R",SNES Donut Plains 1R,SNES Mario Circuit 2R/T,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
26,Blue Yoshi,Super,Dash Ring,2021-03-31,Yoshi Tour (2021),FALSE,FALSE,"DS Waluigi Pinball, GBA Sunset Wilds, RMX Mario Circuit 1, Tokyo Blur 4",GCN Yoshi Circuit T,GBA Sunset Wilds T,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
27,Bowser,Super,Bowser's Shell,2019-09-25,New York Tour,TRUE,FALSE,"3DS Neo Bowser City, 3DS Rainbow Road T, GBA Bowser's Castle 1, GBA Bowser's Castle 1T, GBA Bowser's Castle 2R, GBA Bowser's Castle 2R/T, GCN Dino Dino Jungle T",N64 Kalimari Desert R/T,GBA Bowser's Castle 1R,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
28,Donkey Kong,Super,Giant Banana,2019-09-25,New York Tour,TRUE,FALSE,"3DS Rock Rock Mountain, DS DK Pass, DS Waluigi Pinball R, GCN Dino Dino Jungle, New York Minute 3R",SNES Vanilla Lake 1R/T,RMX Rainbow Road 1T,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
29,Diddy Kong,Super,Banana Barrels,2019-09-25,New York Tour,TRUE,FALSE,"3DS Rock Rock Mountain R, 3DS Toad Circuit R, GCN Dino Dino Jungle R, New York Minute 2R/T",3DS Neo Bowser City R/T,N64 Koopa Troopa Beach R,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30,Lakitu,Super,Triple Green Shells,2019-10-09,Tokyo Tour,TRUE,FALSE,"3DS Toad Circuit T, DS Waluigi Pinball T, London Loop 2R, London Loop R, Merry Mountain R, Paris Promenade T, SNES Ghost Valley 1T, SNES Mario Circuit 2T, SNES Mario Circuit 3T, Tokyo Blur 3R",GBA Bowser's Castle 2R/T,SNES Mario Circuit 2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
31,Bowser Jr.,Super,Bowser's Shell,2019-10-09,Tokyo Tour,TRUE,FALSE,"3DS Cheep Cheep Lagoon T, 3DS Neo Bowser City, 3DS Neo Bowser City T, GBA Bowser's Castle 1R, GBA Bowser's Castle 2R/T, N64 Kalimari Desert R/T, Paris Promenade T, SNES Choco Island 2R, SNES Vanilla Lake 1T",GBA Bowser's Castle 1T,SNES Mario Circuit 2T,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
32,Wario,Super,Double Bob-ombs,2019-10-09,Tokyo Tour,TRUE,FALSE,"DS DK Pass T, Los Angeles Laps R, N64 Kalimari Desert R, N64 Kalimari Desert T, SNES Choco Island 2T, SNES Koopa Troopa Beach 2R",DS Luigi's Mansion R/T,GBA Bowser's Castle 2R/T,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
33,Waluigi,Super,Double Bob-ombs,2019-10-23,Halloween Tour (2019),TRUE,FALSE,"3DS Neo Bowser City R, 3DS Rainbow Road R, 3DS Rock Rock Mountain, 3DS Shy Guy Bazaar R/T, DS Waluigi Pinball, GBA Bowser's Castle 1R/T, Los Angeles Laps T",DS Waluigi Pinball R,N64 Kalimari Desert,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,King Boo,Super,Lucky Seven,2019-10-23,Halloween Tour (2019),TRUE,FALSE,"3DS Shy Guy Bazaar, DS Luigi's Mansion, DS Luigi's Mansion R/T, SNES Ghost Valley 1R, SNES Ghost Valley 1R/T, Tokyo Blur 2R",SNES Choco Island 2T,GBA Bowser's Castle 2,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,Black Shy Guy,Super,Bob-omb Cannon,2019-11-20,Winter Tour (2019),FALSE,FALSE,"3DS Cheep Cheep Lagoon, DS DK Pass R, GBA Sunset Wilds R, SNES Ghost Valley 1R/T, SNES Ghost Valley 1T, SNES Mario Circuit 1R",DS Luigi's Mansion R/T,SNES Choco Island 2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36,Red Koopa (Freerunning),Super,Fire Flower,2019-12-04,London Tour,FALSE,FALSE,"3DS Cheep Cheep Lagoon R, 3DS Toad Circuit T, London Loop, N64 Koopa Troopa Beach R/T, Paris Promenade 2R/T, SNES Donut Plains 1T, SNES Koopa Troopa Beach 2R, SNES Mario Circuit 1, SNES Mario Circuit 1R/T",SNES Mario Circuit 3R/T,GCN Yoshi Circuit T,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
37,Birdo,Super,Birdo's Egg,2019-12-18,Holiday Tour,FALSE,FALSE,"3DS Rainbow Road T, GBA Bowser's Castle 2R, GBA Bowser's Castle 2T, GCN Dino Dino Jungle R/T, N64 Frappe Snowland R/T, SNES Choco Island 1T, SNES Choco Island 2R/T, SNES Donut Plains 2R, Vancouver Velocity T",SNES Ghost Valley 1R/T,DS Waluigi Pinball T,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
38,Pink Shy Guy,Super,Heart,2020-01-29,Valentine's Tour,FALSE,FALSE,"3DS Shy Guy Bazaar R/T, 3DS Shy Guy Bazaar T, London Loop 2R/T, N64 Frappe Snowland, N64 Kalimari Desert T, Paris Promenade 2T, Paris Promenade R, SNES Ghost Valley 1, Tokyo Blur 2",3DS Cheep Cheep Lagoon R/T,SNES Mario Circuit 2R/T,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,Birdo (Light Blue),Super,Birdo's Egg,2020-02-12,Vancouver Tour,FALSE,FALSE,"3DS Rainbow Road, N64 Frappe Snowland T, SNES Ghost Valley 1R, SNES Mario Circuit 2R/T, SNES Mario Circuit 3T, Vancouver Velocity, Vancouver Velocity R/T",N64 Koopa Troopa Beach R/T,SNES Donut Plains 1R/T,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
40,Hammer Bro,Super,Hammer,2020-03-25,Hammer Bro Tour,FALSE,FALSE,"3DS Toad Circuit, DS Airship Fortress T, GBA Bowser's Castle 1R/T, N64 Kalimari Desert, N64 Kalimari Desert R/T, Paris Promenade 2R, SNES Donut Plains 1T, SNES Mario Circuit 3R, SNES Mario Circuit 3R/T",GCN Dino Dino Jungle R/T,N64 Koopa Troopa Beach,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
41,Boomerang Bro,Super,Boomerang Flower,2020-03-25,Hammer Bro Tour,FALSE,FALSE,"3DS Cheep Cheep Lagoon R/T, 3DS Rock Rock Mountain T, RMX Mario Circuit 1R, RMX Mario Circuit 1T, SNES Donut Plains 1",N64 Kalimari Desert T,N64 Kalimari Desert R,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
42,Ice Bro,Super,Ice Flower,2020-03-25,Hammer Bro Tour,FALSE,FALSE,"3DS Neo Bowser City, DS DK Pass R/T, GBA Bowser's Castle 2, N64 Frappe Snowland, N64 Frappe Snowland R, N64 Frappe Snowland T, SNES Vanilla Lake 1R, SNES Vanilla Lake 1R/T, Vancouver Velocity, Vancouver Velocity R",N64 Koopa Troopa Beach T,SNES Mario Circuit 3R,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
43,Fire Bro,Super,Fire Flower,2020-03-25,Hammer Bro Tour,FALSE,FALSE,"3DS Shy Guy Bazaar R, DS Airship Fortress R, GBA Bowser's Castle 1R, GBA Bowser's Castle 1R/T, GBA Bowser's Castle 2, GBA Bowser's Castle 2R, GBA Bowser's Castle 2R/T, GBA Bowser's Castle 2T",GCN Dino Dino Jungle T,SNES Donut Plains 1R,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
44,Birdo (Yellow),Super,Birdo's Egg,2020-04-08,Yoshi Tour (2020),FALSE,FALSE,"3DS Cheep Cheep Lagoon, 3DS Shy Guy Bazaar R/T, London Loop R/T, N64 Kalimari Desert 2T, N64 Kalimari Desert R/T, Paris Promenade R, RMX Choco Island 1",SNES Choco Island 2T,DS Waluigi Pinball R/T,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
45,Monty Mole,Super,Mushroom Cannon,2020-05-06,Flower Tour,FALSE,FALSE,"GBA Bowser's Castle 2, GCN Dino Dino Jungle R, GCN Dino Dino Jungle R/T, RMX Choco Island 1T, SNES Donut Plains 1, SNES Donut Plains 1R, SNES Koopa Troopa Beach 2, SNES Mario Circuit 1T",N64 Koopa Troopa Beach R/T,3DS Toad Circuit R,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
46,Green Shy Guy,Super,Triple Green Shells,2021-04-14,Ninja Tour,FALSE,FALSE,"GCN Yoshi Circuit, GCN Yoshi Circuit R, SNES Koopa Troopa Beach 2R, N64 Koopa Troopa Beach, Sydney Sprint R/T, GCN Dino Dino Jungle T, Wii Maple Treeway R, 3DS Shy Guy Bazaar R/T, GCN Dino Dino Jungle R/T",SNES Koopa Troopa Beach 2T,Ninja Hideaway R,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
47,Metal Mario,High-End,Fire Flower,2019-09-25,New York Tour,TRUE,FALSE,"3DS Rock Rock Mountain R, 3DS Shy Guy Bazaar, DS DK Pass T, GBA Bowser's Castle 2R/T, N64 Frappe Snowland R, RMX Mario Circuit 1, RMX Rainbow Road 1R, SNES Mario Circuit 2R, SNES Rainbow Road, SNES Rainbow Road T, Tokyo Blur 4R","3DS Toad Circuit, SNES Rainbow Road R","DS Waluigi Pinball, SNES Vanilla Lake 1R",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
48,Peachette,High-End,Mushroom Cannon,2019-09-25,New York Tour,TRUE,FALSE,"3DS Mario Circuit R/T, 3DS Toad Circuit, 3DS Toad Circuit T, DS Waluigi Pinball T, GCN Dino Dino Jungle R, N64 Royal Raceway, SNES Choco Island 1R, SNES Donut Plains 1R/T, SNES Mario Circuit 1","3DS Rainbow Road T, GCN Yoshi Circuit T","DS Luigi's Mansion, SNES Donut Plains 1",,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
49,Pauline,High-End,Lucky Seven,2019-09-25,New York Tour,TRUE,FALSE,"3DS Daisy Hills R/T, DS Luigi's Mansion R, DS Waluigi Pinball R/T, DS Waluigi Pinball T, London Loop T, New York Minute, New York Minute 2, New York Minute 2R, New York Minute 3, New York Minute 3T, New York Minute R/T, SNES Choco Island 1","3DS Neo Bowser City R/T, SNES Rainbow Road R/T","3DS Shy Guy Bazaar R, RMX Choco Island 1R",,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50,Mario (Musician),High-End,Double Bob-ombs,2019-09-25,New York Tour,FALSE,FALSE,"3DS Daisy Hills, DS Waluigi Pinball R, GCN Yoshi Circuit R, New York Minute 2R/T, New York Minute 3R, New York Minute 3R/T, New York Minute R, New York Minute T, Paris Promenade 2R/T, RMX Rainbow Road 1T, SNES Donut Plains 1R, SNES Mario Circuit 3","3DS Neo Bowser City R/T, SNES Mario Circuit 3R","3DS Neo Bowser City T, DS Luigi's Mansion",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
51,Peach (Kimono),High-End,Mushroom Cannon,2019-10-09,Tokyo Tour,FALSE,FALSE,"3DS Daisy Hills R, DS Waluigi Pinball, N64 Royal Raceway R, Paris Promenade 2R/T, RMX Rainbow Road 2R, SNES Donut Plains 1R, SNES Donut Plains 1R/T, SNES Mario Circuit 2R, SNES Mario Circuit 3T, Tokyo Blur 3T, Tokyo Blur R, Tokyo Blur T","3DS Mario Circuit R, SNES Mario Circuit 1","N64 Royal Raceway, SNES Rainbow Road",,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
52,Mario (Hakama),High-End,Coin Box,2019-10-09,Tokyo Tour,FALSE,FALSE,"3DS Mario Circuit T, DS Waluigi Pinball R, GBA Bowser's Castle 1T, New York Minute 3R/T, RMX Mario Circuit 1R/T, SNES Mario Circuit 1, SNES Mario Circuit 1T, SNES Mario Circuit 2, SNES Mario Circuit 3R, Tokyo Blur, Tokyo Blur 3R, Tokyo Blur 3T, Tokyo Blur R/T","DS Waluigi Pinball, SNES Rainbow Road T","SNES Ghost Valley 1T, SNES Mario Circuit 1R",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
53,Rosalina (Halloween),High-End,Dash Ring,2019-10-23,Halloween Tour (2019),FALSE,FALSE,"3DS Rosalina's Ice World T, 3DS Shy Guy Bazaar, DS DK Pass R/T, DS Luigi's Mansion, New York Minute 3T, SNES Choco Island 2, SNES Ghost Valley 1, SNES Ghost Valley 1T, SNES Rainbow Road R/T, Tokyo Blur 2R/T, Wii Maple Treeway R","3DS Neo Bowser City, SNES Rainbow Road T","N64 Frappe Snowland T, SNES Ghost Valley 1R",,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
